sku_code;product_name;brand;category;unit;price_per_unit;quantity_available;MOQ;refill_time;description;status
SKF-6204-2RS;Deep groove ball bearing 6204-2RS;SKF;Bearings;pcs;6.80;245;10;3;Inner Ø 20mm / Outer Ø 47mm / W 14mm — double rubber seal — chrome steel;active
PARKER-OR-50X3-NBR;NBR O-ring 50×3 mm;Parker;O-Rings;pcs;0.95;620;20;4;Inner Ø 50mm / cross-section 3mm — NBR 70 Shore A — hydraulic & pneumatic use;active
HYDAC-HF7553;High-pressure hydraulic filter HF7553;Hydac;Filtration;pcs;35.00;44;5;7;Flow 80 L/min — max pressure 210 bar — thread G1 — β10 ≥ 200;active
FESTO-JMFH-5-1/4;5/2 bistable pneumatic directional valve G1/4;Festo;Pneumatics;pcs;148.00;18;1;10;5/2 bistable — G1/4 — 24 V DC — flow 800 L/min — aluminium body;active
SMC-VF3130;3/2 directional solenoid valve SMC VF3130;SMC;Solenoid Valves;pcs;89.50;31;1;8;3/2 — 24 V DC — G1/4 — IP65 — response time 15 ms — stainless steel;active
WIKA-S10-0-40B-G1/4;Process pressure sensor 0-40 bar G1/4;Wika;Instrumentation;pcs;74.00;26;1;12;Range 0-40 bar — output 4-20 mA — G1/4 — IP67 — 316L stainless steel;active
DIN-931-M12X60-109;High-strength hex bolt M12×60 cl.10.9;Acton;Fasteners;pcs;0.42;5 200;100;2;M12 × 60 mm — class 10.9 — zinc-plated steel — DIN 931;active
LOVEJOY-L075-SPIDER;Lovejoy L-075 jaw coupling + spider;Lovejoy;Couplings;pcs;28.90;52;1;6;L-075 series — max bore Ø 19 mm — max torque 10 Nm — red polyurethane spider 98 Shore;active
SCHNEIDER-XB4BVB3;Voyant lumineux LED 24V Ø 22 mm bleu;Schneider Electric;Signalling;pcs;12.40;148;5;4;Ø 22 mm — 24 V AC/DC — blue LED — IP66 — Harmony XB4 series;active
SKF-SYSTEM24-LAGD125;Automatic lubricator SKF SYSTEM 24 125 cm³;SKF;Lubrication;pcs;42.00;62;2;5;125 cm³ cartridge — 12-month autonomy — 1/4 BSP — temp -10°C to +50°C — ATEX safe;active