SKU;Product Name;Brand;Category;Unit;Catalogue Price (€);Stock Qty;MOQ;Lead Time (days);Description / Specs;Status
SKF-6204-2RS;Roulement rigide à billes 6204-2RS;SKF;Roulements;pcs;6,80 €;245;10;3;Ø int 20mm / Ø ext 47mm / L 14mm — double joint caoutchouc — acier chromé;active
PARKER-OR-50X3-NBR;Joint torique NBR 50×3 mm;Parker;Joints toriques;pcs;0,95 €;620;20;4;Ø intérieur 50 mm / section 3 mm — NBR 70 Shore A — usage hydraulique & pneumatique;active
HYDAC-HF7553;Filtre hydraulique haute pression HF7553;Hydac;Filtration;pcs;35,00 €;44;5;7;Débit 80 L/min — pression max 210 bar — filetage G1 — β10 ≥ 200;active
FESTO-JMFH-5-1/4;Distributeur pneumatique 5/2 bistable G1/4;Festo;Pneumatique;pcs;148,00 €;18;1;10;5/2 bistable — G1/4 — 24 V DC — débit 800 L/min — corps aluminium;active
SMC-VF3130;Électrovanne directionnelle 3/2 SMC VF3130;SMC;Électrovannes;pcs;89,50 €;31;1;8;3/2 — 24 V DC — G1/4 — IP65 — temps réponse 15 ms — acier inox;active
WIKA-S10-0-40B-G1/4;Capteur de pression process 0-40 bar G1/4;Wika;Instrumentation;pcs;74,00 €;26;1;12;Plage 0-40 bar — sortie 4-20 mA — G1/4 — IP67 — acier inox 316L;active
DIN-931-M12X60-109;Boulon hexagonal haute résistance M12×60 cl.10.9;Acton;Visserie;pcs;0,42 €;5 200;100;2;M12 × 60 mm — classe 10.9 — acier zingué — DIN 931;active
LOVEJOY-L075-SPIDER;Accouplement élastique Lovejoy L-075 + araignée;Lovejoy;Accouplements;pcs;28,90 €;52;1;6;Série L-075 — alésage max Ø 19 mm — couple max 10 Nm — araignée polyuréthane rouge 98 Shore;active
SCHNEIDER-XB4BVB3;Voyant lumineux LED 24V Ø 22 mm bleu;Schneider Electric;Signalisation;pcs;12,40 €;148;5;4;Ø 22 mm — 24 V AC/DC — LED bleu — IP66 — Harmony série XB4;active
SKF-SYSTEM24-LAGD125;Graisseur automatique à cartouche SKF SYSTEM 24 125 cm³;SKF;Lubrification;pcs;42,00 €;62;2;5;Cartouche 125 cm³ — 12 mois autonomie — 1/4 BSP — T° -10°C à +50°C — sans danger ATEX;active